Nama UMKM                               , Produk Utama                            , Total Aset (Juta), Penjualan Rata-rata Per Tahun (Juta), Jumlah Tenaga Kerja, Nama Badan Hukum       , Kategori                                                                  , Sistem Penjualan      , Target Pasar                                                               , Proyeksi Pertumbuhan (%/tahun), Kebutuhan Biaya Kredit (Juta), Nilai Aset Jaminan Kredit, Jumlah Dokumen Kredit, Label      , pendanaan
TOKO ANUGERAH BERSERI                   , SAPRODI                                 , 35.5             , 48.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100.00 %              , 5.0                           , 10.0                         , 100.0                    , 6                    , TIDAK LAYAK, 92.44982580714587
Usaha Burung Walet                      , Petani                                  , 112.5            , 12.0                                , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100.00 %, 10.0                          , 8.0                          , 200.0                    , 7                    , TIDAK LAYAK, 119.61791837002762
Usaha Tani Sujar                        , Coklat                                  , 55.0             , 24.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 10.0                          , 4.0                          , 55.0                     , 7                    , TIDAK LAYAK, 74.60026684629509
Tani Fajar                              , Sayur                                   , 25.0             , 12.0                                , 0                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 5.0                           , 5.0                          , 25.0                     , 7                    , TIDAK LAYAK, 42.692119023632664
Bastiam                                 , Ikan                                    , 300.0            , 1080.0                              , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 150.0                        , 300.0                    , 3                    , LAYAK      , 1544.0570911948134
Nelayan Akbar                           , Ikan                                    , 54.0             , 504.0                               , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 24.0                         , 54.0                     , 6                    , LAYAK      , 657.1922767191893
Petani Pala Matias                      , Biji Pala                               , 175.0            , 88.0                                , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 5.0                          , 175.0                    , 6                    , TIDAK LAYAK, 243.46756362587988
Petani Pala Petrus                      , Pala                                    , 200.0            , 160.0                               , 9                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 200.0                        , 200.0                    , 7                    , TIDAK LAYAK, 374.8803904375513
Nelayan Ramli                           , Ikan                                    , 115.0            , 130.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 10.0                         , 115.0                    , 6                    , TIDAK LAYAK, 252.22614829079077
Kios Praktis                            , Sembako                                 , 302.0            , 150.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %                    , 0.0                           , 15.0                         , 302.0                    , 8                    , TIDAK LAYAK, 422.3072054987101
Nelayan Abu                             , Ikan                                    , 200.0            , 600.0                               , 5                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 200.0                        , 200.0                    , 8                    , LAYAK      , 886.473521310995
Petani Pala                             , Biji Pala                               , 160.0            , 50.0                                , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 5.0                          , 160.0                    , 6                    , TIDAK LAYAK, 177.6115596750621
Petani Pala Hendrikus                   , Pala                                    , 402.0            , 360.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 70.0                         , 402.0                    , 6                    , LAYAK      , 750.3929583952653
Nelayan Abari                           , Ikan                                    , 119.0            , 180.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 20.0                         , 119.0                    , 5                    , TIDAK LAYAK, 328.2260587079808
Nelayan Parisu                          , Ikan                                    , 18.0             , 210.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 25.0                         , 18.0                     , 6                    , TIDAK LAYAK, 260.17803718632246
Kelompok Gam                            , Sayur Mayur                             , 132.0            , 144.0                               , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 20.0                         , 132.0                    , 5                    , TIDAK LAYAK, 276.76570823641674
Petani Pala Paskalis                    , Pala                                    , 130.0            , 26.0                                , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 5.0                          , 130.0                    , 6                    , TIDAK LAYAK, 129.83198177885126
Nelayan Jakaria                         , Ikan                                    , 271.0            , 108.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 15.0                         , 271.0                    , 6                    , TIDAK LAYAK, 356.2636212599878
Kelompok Kenawa                         , Ikan                                    , 1520.1           , 360.0                               , 5                  , Lainnya                , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 30.0                         , 1520.1                   , 7                    , TIDAK LAYAK, 1657.0333501148687
Pengusaha Sayur                         , Sayur                                   , 170.0            , 84.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 5.0                          , 170.0                    , 6                    , TIDAK LAYAK, 241.8272412378857
Nelayan Ikan Andika                     , Ikan                                    , 340.0            , 204.0                               , 6                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Memenuhi Order Dari Distributor/Eksportir/Trader 75 %                      , 0.0                           , 25.0                         , 340.0                    , 7                    , TIDAK LAYAK, 508.6236636657176
Petani Pala Agustinus Wouw              , Pala                                    , 210.0            , 147.0                               , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 10.0                         , 210.0                    , 6                    , TIDAK LAYAK, 342.4199479985489
Nelayan Abdul                           , Ikan                                    , 100.0            , 600.0                               , 6                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 50.0                         , 100.0                    , 9                    , LAYAK      , 790.591139830008
Rahmatia Lethulur                       , Ikan                                    , 250.0            , 162.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 4.0                          , 250.0                    , 5                    , TIDAK LAYAK, 377.54137500880995
Nelayan                                 , Ikan                                    , 50.0             , 155.0                               , 46                 , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Perorangan            , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 15.0                         , 50.0                     , 5                    , TIDAK LAYAK, 227.42435210985005
Petani Pala Wagab                       , Pala                                    , 110.0            , 343.0                               , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 10.0                         , 110.0                    , 6                    , LAYAK      , 490.45173784760703
Nelayan Sudarto                         , Ikan                                    , 60.0             , 240.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 10.0                         , 60.0                     , 5                    , TIDAK LAYAK, 340.58213025715384
Darma                                   , Manisan Pala                            , 8000.0           , 18.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 5.0                          , 8000.0                   , 7                    , TIDAK LAYAK, 6415.8004955014485
Petani Pala Yohanes                     , Pala                                    , 1000.0           , 21.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 5.0                          , 1000.0                   , 8                    , TIDAK LAYAK, 823.7503808184246
Petani Pala Abraham                     , Pala                                    , 8000.0           , 23.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 10.0                         , 8000.0                   , 7                    , TIDAK LAYAK, 6427.310736120314
Petani Pala Imelda                      , Biji Pala                               , 1000.0           , 28.0                                , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 10.0                         , 1000.0                   , 6                    , TIDAK LAYAK, 831.9558018366815
Pangkas Rambut                          , Potong Rambut                           , 40.0             , 96.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 5.0                          , 40.0                     , 5                    , TIDAK LAYAK, 136.34100704592586
Nelayan Kale                            , Ikan                                    , 7.0              , 155.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 5.0                          , 7.0                      , 5                    , TIDAK LAYAK, 196.8396186926191
Kios Kupang                             , Sembako                                 , 200.0            , 84.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 70.0                         , 200.0                    , 8                    , TIDAK LAYAK, 266.06311803596304
Strobo Photowork                        , Fotografi                               , 590.0            , 384.0                               , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 30.0                         , 590.0                    , 6                    , LAYAK      , 920.359476718588
Pedagang Sayur                          , Sayur Mayur                             , 500.0            , 60.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 5.0                          , 500.0                    , 4                    , TIDAK LAYAK, 458.2770757656479
Kios Suba                               , Sembako                                 , 1000.0           , 108.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 10.0                         , 1000.0                   , 7                    , TIDAK LAYAK, 926.4363097875053
Abraham Galon                           , Air Galon                               , 400.0            , 80.0                                , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 5.0                          , 400.0                    , 9                    , TIDAK LAYAK, 407.22958844404246
Kios Alfian                             , Manisan Dan Sirup Pala                  , 200.0            , 150.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 10.0                         , 200.0                    , 7                    , TIDAK LAYAK, 337.5561786311394
Sabogaur (Jolor)                        , Hasil Laut                              , 200.0            , 650.0                               , 6                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 200.0                        , 200.0                    , 10                   , LAYAK      , 943.4276479085675
Nelayan Muis                            , Udang                                   , 50.0             , 150.0                               , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %                    , 0.0                           , 50.0                         , 50.0                     , 7                    , TIDAK LAYAK, 215.90882271491546
Jamaludin                               , Udang                                   , 15.0             , 55.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 25.0                         , 15.0                     , 6                    , TIDAK LAYAK, 81.77377085037175
Nelayan Guntur                          , Kepiting Dan Ikan                       , 10.0             , 119.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 50.0                         , 10.0                     , 5                    , TIDAK LAYAK, 159.50874100835378
Pembibitan Ikan Mupin                   , Pembibitan Ikan                         , 120.0            , 240.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 40.0                         , 120.0                    , 5                    , TIDAK LAYAK, 377.46929078418964
Budidaya Salak                          , Salak                                   , 175.0            , 90.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 23.0                         , 175.0                    , 7                    , TIDAK LAYAK, 266.7221846065284
Bididaya Semangka                       , Semangka                                , 153.0            , 180.0                               , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 85.0                         , 153.0                    , 7                    , TIDAK LAYAK, 332.393404386081
Budidaya Buah Pak Yohari                , Buah-Buahan                             , 305.0            , 240.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 20.0                         , 305.0                    , 5                    , TIDAK LAYAK, 524.1834798825026
Ayam Petelor Idin                       , Telor                                   , 185.0            , 130.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 20.0                         , 185.0                    , 7                    , TIDAK LAYAK, 294.3703781447817
Warung Febri                            , Perdangangan                            , 215.0            , 300.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 48.0                         , 215.0                    , 7                    , LAYAK      , 530.0532391421692
Usaha Ikan Ibu Tri                      , Ikan                                    , 653.0            , 828.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %                    , 0.0                           , 700.0                        , 653.0                    , 9                    , LAYAK      , 1522.8492235648084
Toko Cahaya Tani                        , Pupuk Subsidi                           , 218.0            , 1200.0                              , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 45.0                         , 218.0                    , 6                    , LAYAK      , 1618.768459303877
Tani Lumbaja                            , Bawang Merah                            , 358.0            , 50.0                                , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 27.0                         , 358.0                    , 8                    , TIDAK LAYAK, 346.8625698082552
Bawang Merah Safri                      , Bawang Merah                            , 122.0            , 65.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 40.0                         , 122.0                    , 8                    , TIDAK LAYAK, 187.87249821405618
Tani Lumbaja                            , Bawang Merah                            , 158.0            , 46.0                                , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 45.0                         , 158.0                    , 8                    , TIDAK LAYAK, 162.69306739878192
Tunas Muda                              , Bawang Merah                            , 215.0            , 51.0                                , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 0.0                          , 215.0                    , 11                   , TIDAK LAYAK, 224.83186051086045
Pekalobean Bawang Merah                 , Bawang Merah                            , 158.0            , 105.0                               , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 48.0                         , 158.0                    , 8                    , TIDAK LAYAK, 274.0382975995455
Muhajir Tani Bawang                     , Bawang Merah                            , 133.0            , 93.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 0.0                          , 133.0                    , 8                    , TIDAK LAYAK, 205.39842801303615
Bawang Merah                            , Bawang Merah                            , 215.0            , 68.0                                , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 51.0                         , 215.0                    , 9                    , TIDAK LAYAK, 254.5624424055357
Agus Lumbaja Bawang                     , Bawang Merah                            , 380.0            , 56.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 40.0                         , 380.0                    , 8                    , TIDAK LAYAK, 359.96312185417213
Bawang Merah Abbas                      , Bawang Merah                            , 267.0            , 52.0                                , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 34.0                         , 267.0                    , 9                    , TIDAK LAYAK, 282.05595789857006
Nurmin Tani Bawang                      , Bawang Merah                            , 258.0            , 60.0                                , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 32.0                         , 258.0                    , 8                    , TIDAK LAYAK, 269.700404112146
Bawang Merah Seli                       , Bawang Merah                            , 276.0            , 50.0                                , 6                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 17.0                         , 276.0                    , 9                    , TIDAK LAYAK, 283.23581824618054
Kadir Bawang                            , Bawang Merah                            , 406.0            , 96.0                                , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 64.0                         , 406.0                    , 9                    , TIDAK LAYAK, 433.2890512449365
Rawasi Bawang Merah                     , Bawang Merah                            , 368.0            , 95.0                                , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Memenuhi Order Dari Distributor/Eksportir/Trader 100 %                     , 0.0                           , 51.0                         , 368.0                    , 9                    , TIDAK LAYAK, 408.95879253060684
